DocType: Accounting Period,Period Name,Nama Periode
apps/erpnext/erpnext/controllers/accounts_controller.py,Charge of type 'Actual' in row {0} cannot be included in Item Rate,Biaya jenis 'Aktual' pada baris {0} tidak bisa dimasukkan dalam Tarif Item
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Max: {0},Max: {0}
apps/erpnext/erpnext/projects/report/daily_timesheet_summary/daily_timesheet_summary.py,From Datetime,Waktu Awal
DocType: Shopify Settings,For Company,Untuk Perusahaan
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.py,"Request for Quotation is disabled to access from portal, for more check portal settings.","Permintaan Quotation dinonaktifkan untuk akses dari portal, untuk pengaturan Portal cek lagi."
DocType: Supplier Scorecard Scoring Variable,Supplier Scorecard Scoring Variable,Variabel Nilai Scorecard Pemasok
apps/erpnext/erpnext/accounts/report/gross_profit/gross_profit.py,Buying Amount,Jumlah Pembelian
DocType: POS Closing Voucher,Modes of Payment,Cara Pembayaran
DocType: Sales Invoice,Shipping Address Name,Alamat Pengiriman
apps/erpnext/erpnext/accounts/doctype/account/account.js,Chart of Accounts,Bagan Akun
DocType: Material Request,Terms and Conditions Content,Isi Syarat dan Ketentuan
apps/erpnext/erpnext/education/doctype/course_scheduling_tool/course_scheduling_tool.js,There were errors creating Course Schedule,Ada kesalahan dalam membuat Jadwal Kursus
DocType: Communication Medium,Timeslots,Slot Waktu
DocType: Department,The first Expense Approver in the list will be set as the default Expense Approver.,Pemberi Persetujuan Anggaran pertama dalam daftar adalah Pemberi Persetujuan utama.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,cannot be greater than 100,tidak bisa lebih besar dari 100
apps/erpnext/erpnext/public/js/hub/marketplace.js,You need to be a user other than Administrator with System Manager and Item Manager roles to register on Marketplace.,Anda harus menjadi pengguna yang bukan Administrator dengan peran Manajer Sistem dan Manajer Item untuk mendaftar di Marketplace.
apps/erpnext/erpnext/stock/doctype/item/item.py,Item {0} is not a stock Item,Barang {0} bukan merupakan Item persediaan
DocType: Packing Slip,MAT-PAC-.YYYY.-,MAT-PAC-.YYYY.-
DocType: Maintenance Visit,Unscheduled,Tidak Terjadwal
DocType: Employee,Owned,Dimiliki
DocType: Pricing Rule,"Higher the number, higher the priority","Semakin tinggi angkanya, semakin tinggi prioritas"
,Purchase Invoice Trends,Tren Faktur Pembelian
apps/erpnext/erpnext/www/all-products/not_found.html,No products found,Tidak ada produk yang ditemukan
DocType: Employee,Better Prospects,Prospek yang Lebih Baik
DocType: Travel Itinerary,Gluten Free,Bebas Gluten
DocType: Loyalty Program Collection,Minimum Total Spent,Jumlah Total Minimum
apps/erpnext/erpnext/stock/doctype/batch/batch.py,"Row #{0}: The batch {1} has only {2} qty. Please select another batch which has {3} qty available or split the row into multiple rows, to deliver/issue from multiple batches","Baris #{0}: Kumpulan {1} hanya memiliki {2} qty. Silakan pilih batch lain yang memiliki {3} qty available atau membagi baris menjadi beberapa baris, untuk mengirimkan / mengeluarkan dari beberapa batch"
DocType: Loyalty Program,Expiry Duration (in days),Durasi Kadaluarsa (dalam hari)
DocType: Inpatient Record,Discharge Date,Tanggal Discharge
DocType: Subscription Plan,Price Determination,Penentuan Harga
DocType: Vehicle,License Plate,Nomor Pelat
apps/erpnext/erpnext/hr/doctype/department/department_tree.js,New Department,Departemen Baru
DocType: Compensatory Leave Request,Worked On Holiday,Bekerja Pada Hari Libur
DocType: Appraisal,Goals,Tujuan
DocType: Support Settings,Allow Resetting Service Level Agreement,Izinkan Mengatur Ulang Perjanjian Tingkat Layanan
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Select POS Profile,Pilih Profil POS
DocType: Warranty Claim,Warranty / AMC Status,Garansi / Status AMC
,Accounts Browser,Browser Akun
DocType: Procedure Prescription,Referral,Referal
DocType: Payment Entry Reference,Payment Entry Reference,Referensi Entri Pembayaran
DocType: GL Entry,GL Entry,GL Entri
DocType: Support Search Source,Response Options,Pilihan Tanggapan
DocType: Pricing Rule,Apply Multiple Pricing Rules,Terapkan Beberapa Aturan Harga
DocType: HR Settings,Employee Settings,Pengaturan Karyawan
apps/erpnext/erpnext/templates/pages/integrations/gocardless_checkout.html,Loading Payment System,Memuat Sistem Pembayaran
,Batch-Wise Balance History,Rekap Saldo menurut Batch
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Cannot set Rate if amount is greater than billed amount for Item {1}.,Baris #{0}: Tidak bisa menetapkan Tarif jika jumlahnya lebih besar dari jumlah ditagih untuk Item {1}.
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Print settings updated in respective print format,Pengaturan cetak diperbarui dalam format cetak terkait
DocType: Package Code,Package Code,Kode Paket
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Apprentice,Magang
DocType: Purchase Invoice,Company GSTIN,Perusahaan GSTIN
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Negative Quantity is not allowed,Jumlah negatif tidak diperbolehkan
DocType: Purchase Invoice Item,"Tax detail table fetched from item master as a string and stored in this field.
Used for Taxes and Charges",Tabel rincian pajak diambil dari master Item sebagai string dan disimpan dalam field ini. Digunakan untuk Pajak dan Biaya
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Employee cannot report to himself.,Karyawan tidak bisa melaporkan kepada dirinya sendiri.
apps/erpnext/erpnext/templates/pages/order.html,Rate:,Tarif:
DocType: Bank Account,Change this date manually to setup the next synchronization start date,Ubah tanggal ini secara manual untuk mengatur tanggal mulai sinkronisasi berikutnya
DocType: Leave Type,Max Leaves Allowed,Max Cuti Diizinkan
DocType: Account,"If the account is frozen, entries are allowed to restricted users.","Jika akun dibekukan, entri hanya diizinkan untuk pengguna tertentu."
DocType: Email Digest,Bank Balance,Saldo Bank
apps/erpnext/erpnext/controllers/accounts_controller.py,Accounting Entry for {0}: {1} can only be made in currency: {2},Entri Pembukuan untuk {0}: {1} hanya dapat dilakukan dalam Valuta: {2}
DocType: HR Settings,Leave Approver Mandatory In Leave Application,Pemberi Izin Cuti wajib diisi untuk Pengajuan Cuti
DocType: Job Opening,"Job profile, qualifications required etc.","Profil pekerjaan, kualifikasi dibutuhkan dll."
DocType: Journal Entry Account,Account Balance,Saldo Akun
apps/erpnext/erpnext/config/accounting.py,Tax Rule for transactions.,Aturan pajak untuk transaksi.
DocType: Rename Tool,Type of document to rename.,Jenis dokumen yang diubah namanya.
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,Resolve error and upload again.,Selesaikan kesalahan dan unggah lagi.
DocType: Buying Settings,Over Transfer Allowance (%),Kelebihan Transfer (%)
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Customer is required against Receivable account {2},{0} {1}: Pelanggan harus diisi untuk akun Piutang {2}
DocType: Purchase Invoice,Total Taxes and Charges (Company Currency),Jumlah Pajak dan Biaya (Valuta Perusahaan)
DocType: Weather,Weather Parameter,Parameter Cuaca
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.js,Show unclosed fiscal year's P&L balances,Tampilkan saldo L/R tahun fiskal yang belum ditutup
DocType: Item,Asset Naming Series,Seri Penamaan Aset
DocType: Appraisal,HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.
apps/erpnext/erpnext/regional/india/utils.py,House rented dates should be atleast 15 days apart,Tanggal sewa rumah harus setidaknya 15 hari terpisah
DocType: Clinical Procedure Template,Collection Details,Rincian Koleksi
DocType: POS Profile,Allow Print Before Pay,Izinkan Cetak Sebelum Bayar
DocType: Linked Soil Texture,Linked Soil Texture,Tekstur Tanah Tertib
DocType: Shipping Rule,Shipping Account,Akun Pengiriman
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Account {2} is inactive,{0} {1}: Akun {2} tidak aktif
DocType: GSTR 3B Report,March,Maret
DocType: Bank Statement Transaction Entry,Bank Transaction Entries,Entri Transaksi Bank
DocType: Quality Inspection,Readings,Pembacaan
DocType: Stock Entry,Total Additional Costs,Total Biaya Tambahan
DocType: Quality Action,Quality Action,Tindakan Kualitas
apps/erpnext/erpnext/crm/report/lead_conversion_time/lead_conversion_time.py,No of Interactions,Tidak ada Interaksi
DocType: BOM,Scrap Material Cost(Company Currency),Scrap Material Cost (Valuta Perusahaan)
apps/erpnext/erpnext/support/doctype/service_level/service_level.py,"Set Start Time and End Time for  \
					Support Day {0} at index {1}.","Tetapkan Waktu Mulai dan Waktu Selesai untuk \  					Hari Dukungan {0} di indeks {1}."
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Sub Assemblies,Perakitan
DocType: Asset,Asset Name,Aset Nama
DocType: Employee Boarding Activity,Task Weight,Bobot Tugas
DocType: Shipping Rule Condition,To Value,Sampai Nilai
DocType: Accounts Settings,Automatically Add Taxes and Charges from Item Tax Template,Secara otomatis Menambahkan Pajak dan Tagihan dari Item Pajak Template
DocType: Loyalty Program,Loyalty Program Type,Jenis Program Loyalitas
DocType: Asset Movement,Stock Manager,Manajer Persediaan
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Source warehouse is mandatory for row {0},Sumber gudang adalah wajib untuk baris {0}
apps/erpnext/erpnext/accounts/doctype/payment_terms_template/payment_terms_template.py,The Payment Term at row {0} is possibly a duplicate.,Syarat Pembayaran di baris {0} mungkin merupakan duplikat.
apps/erpnext/erpnext/public/js/setup_wizard.js,Agriculture (beta),Pertanian (beta)
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.js,Packing Slip,Slip Kemasan
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Office Rent,Sewa Kantor
apps/erpnext/erpnext/config/settings.py,Setup SMS gateway settings,Pengaturan gerbang Pengaturan SMS
DocType: Disease,Common Name,Nama yang umum
DocType: Customer Feedback Template Table,Customer Feedback Template Table,Tabel Templat Umpan Balik Pelanggan
DocType: Employee Boarding Activity,Employee Boarding Activity,Aktivitas Boarding Karyawan
apps/erpnext/erpnext/public/js/templates/address_list.html,No address added yet.,Belum ditambahkan alamat
DocType: Workstation Working Hour,Workstation Working Hour,Jam Kerja Workstation
DocType: Vital Signs,Blood Pressure,Tekanan Darah
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Analyst,Analis
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,{0} is not in a valid Payroll Period,{0} tidak dalam Periode Penggajian yang valid
DocType: Employee Benefit Application,Max Benefits (Yearly),Tunjangan Max (Tahunan)
DocType: Item,Inventory,Persediaan
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.js,Download as Json,Unduh sebagai Json
DocType: Item,Sales Details,Rincian Penjualan
DocType: Coupon Code,Used,Digunakan
DocType: Opportunity,With Items,Dengan Produk
apps/erpnext/erpnext/crm/doctype/email_campaign/email_campaign.py,The Campaign '{0}' already exists for the {1} '{2}',Kampanye '{0}' sudah ada untuk {1} '{2}'
DocType: Asset Maintenance,Maintenance Team,Tim Pemeliharaan
DocType: Homepage Section,"Order in which sections should appear. 0 is first, 1 is second and so on.","Urutan posisi setiap bagian. 0 adalah yang pertama, 1 yang kedua dan seterusnya."
apps/erpnext/erpnext/stock/report/batch_wise_balance_history/batch_wise_balance_history.py,In Qty,Dalam Qty
DocType: Education Settings,Validate Enrolled Course for Students in Student Group,Validasi Kursus Terdaftar untuk Siswa di Kelompok Siswa
DocType: Item,Item Attribute,Atribut Item
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Government,Pemerintahan
apps/erpnext/erpnext/hr/doctype/vehicle_log/vehicle_log.py,Expense Claim {0} already exists for the Vehicle Log,Klaim Biaya {0} sudah ada untuk Log Kendaraan
DocType: Asset Movement,Source Location,Lokasi Asal
apps/erpnext/erpnext/public/js/setup_wizard.js,Institute Name,Nama Institusi
apps/erpnext/erpnext/hr/doctype/loan/loan.py,Please enter repayment Amount,Masukkan Jumlah pembayaran
DocType: Shift Type,Working Hours Threshold for Absent,Batas Jam Kerja dianggap Tidak Masuk
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.js,There can be multiple tiered collection factor based on the total spent. But the conversion factor for redemption will always be same for all the tier.,Ada beberapa faktor pengumpulan berdasarkan jumlah totaldibelanjakan. Tetapi faktor konversi untuk penebusan akan selalu sama untuk semua tingkatan.
apps/erpnext/erpnext/config/help.py,Item Variants,Varian Item
apps/erpnext/erpnext/public/js/setup_wizard.js,Services,Jasa
apps/erpnext/erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js,BOM 2,BOM 2
DocType: Payment Order,PMO-,PMO-
DocType: HR Settings,Email Salary Slip to Employee,Email Slip Gaji ke Karyawan
DocType: Cost Center,Parent Cost Center,Induk Pusat Biaya
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.js,Create Invoices,Buat Faktur
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Select Possible Supplier,Pilih Calon Pemasok
DocType: Communication Medium,Communication Medium Type,Jenis Media Komunikasi
DocType: Customer,"Select, to make the customer searchable with these fields","Pilih, sehingga pelanggan bisa dicari dari informasi ini"
DocType: Shopify Settings,Import Delivery Notes from Shopify on Shipment,Nota Pengiriman Impor dari Shopify on Shipment
apps/erpnext/erpnext/templates/pages/projects.html,Show closed,Tampilkan Ditutup
DocType: Issue Priority,Issue Priority,Prioritas Masalah
DocType: Leave Ledger Entry,Is Leave Without Pay,Adalah Cuti Tanpa Bayar
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,GSTIN,GSTIN
apps/erpnext/erpnext/stock/doctype/item/item.py,Asset Category is mandatory for Fixed Asset item,Aset Kategori adalah wajib untuk item aset tetap
DocType: Fee Validity,Fee Validity,Validitas Biaya
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,No records found in the Payment table,Tidak ada catatan ditemukan dalam tabel Pembayaran
apps/erpnext/erpnext/education/utils.py,This {0} conflicts with {1} for {2} {3},Ini {0} konflik dengan {1} untuk {2} {3}
DocType: Student Attendance Tool,Students HTML,HTML Siswa
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,{0}: {1} must be less than {2},{0}: {1} harus kurang dari {2}
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,"Select BOM, Qty and For Warehouse","Pilih BOM, Jumlah dan Untuk Gudang"
DocType: GST HSN Code,GST HSN Code,Kode HSN GST
DocType: Employee External Work History,Total Experience,Jumlah Pengalaman
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Projects,Proyek Terbuka
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Packing Slip(s) cancelled,Slip Kemasan dibatalkan
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Cash Flow from Investing,Arus Kas dari Investasi
DocType: Program Course,Program Course,Kursus Program
DocType: Healthcare Service Unit,Allow Appointments,Izinkan Janji
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Freight and Forwarding Charges,Biaya Angkutan dan Forwarding
DocType: Homepage,Company Tagline for website homepage,Perusahaan Tagline untuk homepage website
DocType: Item Group,Item Group Name,Nama Kelompok Item
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Taken,Diambil
DocType: Invoice Discounting,Short Term Loan Account,Akun Pinjaman Jangka Pendek
DocType: Student,Date of Leaving,Tanggal Keluar
DocType: Pricing Rule,For Price List,Untuk Daftar Harga
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Executive Search,Pencarian Eksekutif
DocType: Employee Advance,HR-EAD-.YYYY.-,HR-EAD-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Setting defaults,Pengaturan standar
DocType: Loyalty Program,Auto Opt In (For all customers),Keikutsertaan Otomatis (Untuk semua pelanggan)
apps/erpnext/erpnext/utilities/activation.py,Create Leads,Buat Prospek
DocType: Maintenance Schedule,Schedules,Jadwal
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,POS Profile is required to use Point-of-Sale,Penggunaan Point-of-Sale harus ada Profil POS
DocType: Cashier Closing,Net Amount,Nilai Bersih
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,{0} {1} has not been submitted so the action cannot be completed,{0} {1} belum dikirim sehingga tindakan tidak bisa diselesaikan
DocType: Purchase Order Item Supplied,BOM Detail No,No. Rincian BOM
DocType: Landed Cost Voucher,Additional Charges,Biaya-biaya Tambahan
DocType: Support Search Source,Result Route Field,Field Rute Hasil
DocType: Supplier,PAN,PAN
DocType: Employee Checkin,Log Type,Jenis Log
DocType: Purchase Invoice,Additional Discount Amount (Company Currency),Jumlah Diskon Tambahan (dalam Valuta Perusahaan)
DocType: Supplier Scorecard,Supplier Scorecard,Scorecard Pemasok
DocType: Plant Analysis,Result Datetime,Hasil Datetime
,Support Hour Distribution,Distribusi Jam Bantuan
DocType: Maintenance Visit,Maintenance Visit,Kunjungan Pemeliharaan
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.js,Close Loan,Tutup Pinjaman
DocType: Student,Leaving Certificate Number,Nomor Sertifikat Kelulusan
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,"Appointment cancelled, Please review and cancel the invoice {0}","Perjanjian dibatalkan, Harap tinjau dan batalkan faktur {0}"
DocType: Sales Invoice Item,Available Batch Qty at Warehouse,Tersedia Qty Batch di Gudang
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Update Print Format,Perbarui Format Cetak
DocType: Bank Account,Is Company Account,Adalah Akun Perusahaan
apps/erpnext/erpnext/hr/doctype/leave_encashment/leave_encashment.py,Leave Type {0} is not encashable,Jenis Cuti {0} tidak bisa diuangkan
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Credit limit is already defined for the Company {0},Batas kredit sudah ditentukan untuk Perusahaan {0}
DocType: Landed Cost Voucher,Landed Cost Help,Bantuan Biaya Landed
DocType: Vehicle Log,HR-VLOG-.YYYY.-,HR-VLOG-.YYYY.-
DocType: Purchase Invoice,Select Shipping Address,Pilih Alamat Pengiriman
DocType: Timesheet Detail,Expected Hrs,Jam Diharapkan
apps/erpnext/erpnext/config/non_profit.py,Memebership Details,Rincian Keanggotaan
DocType: Leave Block List,Block Holidays on important days.,Blok Hari Libur pada hari-hari penting.
apps/erpnext/erpnext/healthcare/doctype/lab_test/lab_test.js,Please input all required Result Value(s),Harap masukan semua Nilai Hasil yang dibutuhkan
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Accounts Receivable Summary,Ringkasan Piutang
DocType: POS Closing Voucher,Linked Invoices,Faktur Tertaut
DocType: Loan,Monthly Repayment Amount,Bulanan Pembayaran Jumlah
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool_dashboard.html,Opening Invoices,Membuka Faktur
DocType: Contract,Contract Details,Rincian Kontrak
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Please set User ID field in an Employee record to set Employee Role,Silakan set ID lapangan Pengguna dalam catatan Karyawan untuk mengatur Peran Karyawan
DocType: UOM,UOM Name,Nama SU
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To Address 1,Untuk Alamat 1
DocType: GST HSN Code,HSN Code,Kode HSN
apps/erpnext/erpnext/selling/report/sales_person_commission_summary/sales_person_commission_summary.py,Contribution Amount,Jumlah kontribusi
DocType: Homepage Section,Section Order,Bagian Pesanan
DocType: Inpatient Record,Patient Encounter,Pertemuan Pasien
DocType: Accounts Settings,Shipping Address,Alamat Pengiriman
DocType: Stock Reconciliation,This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,Alat ini membantu anda memperbarui atau memperbaiki kuantitas dan valuasi persediaan di sistem. Biasanya digunakan untuk menyelaraskan sistem dengan aktual barang yang ada di gudang.
DocType: Delivery Note,In Words will be visible once you save the Delivery Note.,Dalam Huruf akan terlihat setelah Nota Pengiriman disimpan.
apps/erpnext/erpnext/erpnext_integrations/utils.py,Unverified Webhook Data,Data Webhook Tidak Diverifikasi
DocType: Water Analysis,Container,Wadah
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.py,Please set valid GSTIN No. in Company Address,Harap tetapkan No. GSTIN yang valid di Alamat Perusahaan
apps/erpnext/erpnext/education/utils.py,Student {0} - {1} appears Multiple times in row {2} & {3},Siswa {0} - {1} muncul Beberapa kali berturut-turut {2} &amp; {3}
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Following fields are mandatory to create address:,Fields berikut wajib untuk membuat alamat:
DocType: Item Alternative,Two-way,Dua arah
DocType: Item,Manufacturers,Pabrikan
apps/erpnext/erpnext/accounts/deferred_revenue.py,Error while processing deferred accounting for {0},Kesalahan saat memproses pembukuan yang ditangguhkan untuk {0}
,Employee Billing Summary,Ringkasan Penagihan Karyawan
DocType: Project,Day to Send,Hari Pengiriman
DocType: Healthcare Settings,Manage Sample Collection,Mengelola Koleksi Sampel
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Please set the series to be used.,Silakan mengatur seri yang akan digunakan.
DocType: Patient,Tobacco Past Use,Tobacco Past Use
DocType: Travel Itinerary,Mode of Travel,Moda Perjalanan
DocType: Sales Invoice Item,Brand Name,Nama Merek
DocType: Purchase Receipt,Transporter Details,Rincian Kurir
DocType: Issue,Service Level Agreement Creation,Pembuatan Perjanjian Tingkat Layanan
apps/erpnext/erpnext/accounts/page/pos/pos.js,Default warehouse is required for selected item,Gudang standar harus diisi untuk item dipilih
DocType: Quiz,Passing Score,Nilai Kelulusan
apps/erpnext/erpnext/utilities/user_progress.py,Box,Kotak
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Possible Supplier,Calon Pemasok
DocType: Budget,Monthly Distribution,Distribusi Bulanan
apps/erpnext/erpnext/selling/doctype/sms_center/sms_center.py,Receiver List is empty. Please create Receiver List,Receiver List kosong. Silakan membuat Receiver List
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! The input you've entered doesn't match the GSTIN format for UIN Holders or Non-Resident OIDAR Service Providers,GSTIN tidak valid! Input yang anda masukkan tidak cocok dengan format GSTIN untuk Pemegang UIN atau Penyedia Layanan OIDAR Non-Resident
apps/erpnext/erpnext/public/js/setup_wizard.js,Healthcare (beta),Kesehatan (beta)
DocType: Production Plan Sales Order,Production Plan Sales Order,Order Penjualan Rencana Produksi
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,"No active BOM found for item {0}. Delivery by \
						Serial No cannot be ensured",Tidak ada BOM aktif yang ditemukan untuk item {0}. Pengiriman oleh \ Serial Tidak bisa dipastikan
DocType: Sales Partner,Sales Partner Target,Target Mitra Penjualan
DocType: Loan Type,Maximum Loan Amount,Maksimum Jumlah Pinjaman
DocType: Coupon Code,Pricing Rule,Aturan Harga
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,Duplicate roll number for student {0},Nomor pengguliran duplikat untuk siswa {0}
apps/erpnext/erpnext/config/help.py,Material Request to Purchase Order,Permintaan Material untuk Order Pembelian
DocType: Company,Default Selling Terms,Ketentuan Penjualan Standar
DocType: Shopping Cart Settings,Payment Success URL,URL Pembayaran Berhasil
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Row # {0}: Returned Item {1} does not exists in {2} {3},Baris #{0}: Barang Retur {1} tidak ada dalam {2} {3}
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Bank Accounts,Akun Bank
,Bank Reconciliation Statement,Laporan Rekonsiliasi Bank
DocType: Patient Encounter,Medical Coding,Pengkodean Medis
DocType: Healthcare Settings,Reminder Message,Pesan Pengingat
DocType: Call Log,Lead Name,Nama Prospek
,POS,POS
DocType: C-Form,III,III
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Prospecting,Pencarian
apps/erpnext/erpnext/config/help.py,Opening Stock Balance,Saldo Pembukaan Persediaan 
DocType: Asset Category Account,Capital Work In Progress Account,Akun Aset Dalam Pengerjaan
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Asset Value Adjustment,Penyesuaian Nilai Aset
DocType: Additional Salary,Payroll Date,Tanggal Pembayaran
apps/erpnext/erpnext/stock/doctype/item_attribute/item_attribute.py,{0} must appear only once,{0} harus muncul hanya sekali
apps/erpnext/erpnext/hr/doctype/leave_control_panel/leave_control_panel.py,Leaves Allocated Successfully for {0},Cuti Berhasil Dialokasikan untuk {0}
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.py,No Items to pack,Tidak ada item untuk dikemas
apps/erpnext/erpnext/accounts/doctype/bank_statement_transaction_entry/bank_statement_transaction_entry.py,Only .csv and .xlsx files are supported currently,Hanya file .csv dan .xlsx yang didukung saat ini
DocType: Shipping Rule Condition,From Value,Dari Nilai
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Manufacturing Quantity is mandatory,Kuantitas Produksi wajib diisi
DocType: Loan,Repayment Method,Metode pembayaran
DocType: Products Settings,"If checked, the Home page will be the default Item Group for the website","Jika diperiksa, Home page akan menjadi standar Kelompok Item untuk website"
DocType: Quality Inspection Reading,Reading 4,Pembacaan 4
apps/erpnext/erpnext/buying/report/subcontracted_item_to_be_received/subcontracted_item_to_be_received.py,Pending Quantity,Kuantitas Tertunda
apps/erpnext/erpnext/utilities/activation.py,"Students are at the heart of the system, add all your students","Siswa di jantung dari sistem, menambahkan semua siswa anda"
apps/erpnext/erpnext/non_profit/report/expiring_memberships/expiring_memberships.py,Member ID,Tanda Anggota
DocType: Employee Tax Exemption Proof Submission,Monthly Eligible Amount,Jumlah yang Memenuhi Syarat Bulanan
apps/erpnext/erpnext/accounts/doctype/bank_reconciliation/bank_reconciliation.py,Row #{0}: Clearance date {1} cannot be before Cheque Date {2},Baris #{0}: Tanggal kliring {1} tidak bisa sebelum Tanggal Cek {2}
DocType: Asset Maintenance Task,Certificate Required,Sertifikat Dibutuhkan
DocType: Company,Default Holiday List,Daftar Hari Libur Standar
DocType: Pricing Rule,Supplier Group,Kelompok Pemasok
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py,{0} Digest,{0} Digest
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Row {0}: From Time and To Time of {1} is overlapping with {2},Baris {0}: Waktu Mulai dan Waktu Akhir {1} tumpang tindih dengan {2}
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock Liabilities,Hutang Persediaan
DocType: Purchase Invoice,Supplier Warehouse,Gudang Pemasok
DocType: Opportunity,Contact Mobile No,Nomor HP
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Select Company,Pilih Perusahaan
,Material Requests for which Supplier Quotations are not created,Permintaan Material yang belum dibuatkan Penawaran Pemasok
apps/erpnext/erpnext/config/crm.py,"Helps you keep tracks of Contracts based on Supplier, Customer and Employee","Membantu anda melacak Kontrak berdasarkan Pemasok, Pelanggan, dan Karyawan"
DocType: Company,Discount Received Account,Akun Diskon Diterima
DocType: Student Report Generation Tool,Print Section,Bagian Cetak
DocType: Staffing Plan Detail,Estimated Cost Per Position,Perkiraan Biaya Per Posisi
DocType: Employee,HR-EMP-,HR-EMP-
